bengali,english
"Azra Tahira","আজরা তাহিরা"
"Azra Smiha","আজরা সামিহা"
"Azra Shakila","আজরা শাকিলা"
"Azra Sajida","আজরা সাজিদা"
"Azra Saeeda","আজরা সাদিকা"
"Azra Sadia","আজরা সাদিয়া"
"Azra sabiha","আজরা সাবিহা"
"Azra Rumali","আজরা রুমালী"
"Azra Rashida","আজরা রাশীদা"
"Azra Raihana","আজরা রায়হানা"
"Azra Mukarrama","আজরা মুকাররামা"
"Azra Momtaz","আজরা মুমতাজ"
"Azra Masuda","আজরা মাসুদা"
"Azra Maliha","আজরা মালিহা"
"Azra Abida","আজরা"
"Azra","আজরা"
"Azizah","আজিজা"
"Azha","আযহা"
"Ayman Ulfat","আয়মান উলফাত"
"Ayanna","অয়না"
"Atqiya Samiha","আতকিয়া সামিহা"
"Atqiya Sahebi","আতকিয়া সাহেবী"
"Atqiya Fannana","আতকিয়া ফান্নানা"
"Atqiya Fakhera","আতকিয়া ফাখেরা"
"Atqiya Faizah","আতকিয়া ফাইজা"
"Atqiya Fairooz","আতকিয়া ফাইরুজ"
"Atqiya Fahmida","আতকিয়া ফাহমিদা"
"Atqiya Fabliha","আতকিয়া ফাবলীহা"
"Atqiya Bushra","আতকিয়া বুশরা"
"Atqiya Bilqis","আতকিয়া বিলকিস"
"Atqiya Bashimah","আতকিয়া বাসিমা"
"Atqiya Azizah","আতকিয়া আজিজাহ"
"Atqiya Ayman","আতকিয়া আয়মান"
"Atqiya Atiya","আতকিয়া আতিয়া"
"Atqiya Asima","আতকিয়া আসিমা"
"Atqiya Aqila","আতিয়া আকিলা"
"Atqiya Antara","আতকিয়া আনতারা"
"Atqiya Anjum","আতকিয়া আনজুম"
"Atqiya Anisa","আতকিয়া আনিসা"
"Atqiya Aniqa","আতকিয়া আনিকা"
"Atqiya Amina","আতকিয়া আমিনা"
"Atqiya Aishah","আতকিয়া আয়েশা"
"Atqiya Aflah","আতকিয়া আফলাহ"
"Atqiya Afia","আতিয়া আফিয়া"
"Atqiya Adila","আতকিয়া আদিলা"
"Atqiya Adiba","আতকিয়া আদিবা"
"Atqiya Abida","আতকিয়া আবিদা"
"Atiya Washima","আতিয়া ওয়াসিমা"
"Atiya Ulfat","আতিয়া উলফা"
"Atiya Tahira","আতিয়া তাহিরা"
"Atiqa Tasawal","আতিকা তাসাওয়াল"
"Atiqa","আতিকা"
"Atera","আতেরা"
"Baha","বাহা"
"Bakul","বকুল"
"Banu","বানু"
"Benu","বেনু"
