bengali,english
Afia Abida,আফিয়া আবিদা
Afia Adiba,আফিয়া আদিবা
Afia Adilah,আফিয়া আদিলাহ
Afia Afifa,আফিয়া আফিফা
Afia Aisha,আফিয়া আয়েশা
Afia Amina,আফিয়া আমিনা
Afia Anisa,আফিয়া আনিসা
Afia Anjum,আফিয়া আনজুম
Afia Antara,আফিয়া আনতারা
Afia Aqila,আফিয়া আকিলা
Afia Asima,আফিয়া আসিমা
Afia Ayman,আফিয়া আয়মান
Afia Azizah,আফিয়া আজিজাহ
Afia Bilqis,আফিয়া বিলকিস
Afia Fahmida,আফিয়া ফাহমিদা
Afia Ibnat,আফিয়া ইবনাত
Afia Ibnat,আফিয়া ইবনাত
Afia Maliha,আফিয়া মালিহা
Afia Masuda,আফিয়া মাসুদা
Afia Masuma,আফিয়া মাসুমা
Afia Mukaramee,আফিয়া মুকারামী
Afia Munawara,আফিয়া মুনাওয়ারা
Afia Murshida,আফিয়া মুরশিদা
Afia Mutahara,আফিয়া মুতাহারা
Afia Nawar,আফিয়া নাওয়ার
Afia Saiyara,আফিয়া সাইয়ারা
Afia Shahana,আফিয়া শাহানা
Afia Zahin,আফিয়া জাহিন
Afia Zainab,আফিয়া যয়নাব
Anisa Atiya,আনিসা আতিয়া
Anisa Bushra,আনিসা বুশরা
Anisa Gauhar,আনিসা গওহর
Anisa Nawar,আনিসা নাওয়ার
Anisa Raihana,আনিসা রায়হানা
Anisa Shama,আনিসা শামা
Anisa Sharmila,আনিসা শারমিলা
Anisa Tabassum,আনিসা তাবাসসুম
Anisa Tahsin,আনিসা তাহসিন
Jahora,যাহরা
Jakiah,যাকীয়াহ
Jarin,যারীন
Jeba,যেবা
Jeba Adiba,জেবা আদিবা
Jeba Afia,জেবা আফিয়া
Jeba Aniqa,জেবা আনিকা
Jeba Asima,জেবা আসিমা
Jeba Atiqa,জেবা আতিকা
Jeba Atiqiya,জেবা আতিকিয়া
Jeba Fariha,জেবা ফারিহা
Jeba Fawziyah,জেবা ফাওজিয়াহ
Jeba Humayara,জেবা হোমায়রা
Jeba Maimuna,জেবা মায়মুনা
Jeba Maliha,জেবা মালিহা
Jeba Maliyat,জেবা মালিয়াত
Jeba Masuma,জেবা মাসুমা
Jeba Mubasshira,জেবা মুবাশশিরা
Jeba Munawara,জেবা মুনওয়ারা
Jeba Mutahara,জেবা মুতাহারা
Jeba Rahat,জেবা রাহাত
Jeba Raisa,জেবা রাইসা
Jeba Ramisa,জেবা রামিসা
Jeba Rana,জেবা রানা
Jeba Rezwan,জেবা রেজওয়ান
Jeba Sabiha,জেবা সাবিহা
Jeba Sajida,জেবা সাজিদা
Jeba Samiha,জেবা সামিহা
Jeba Shahana,জেবা শাহানা
Jeba Tahira,জেবা তাহিরা
Jeba Tahsin,জেবা তাহসিন
Jeba Wasima,জেবা ওয়াসিমা
Jenat,যীনাত
Junnar,যুন্নার
Labiba,লবীবা
Mahbuba,মাহবুবা
Mahfuza,মাহফুজা
Mahmuda,মাহমুদা
Majeda,মাজেদা
Malih,মালিহা
Mamuduha,মামদূহা
Maskura,মাশকুরা
Masruba,মাসরুরা
Masuda,মাসুদা
Masuma,মাসুমা
Masuma,মাসুমা
Muajjma,মুয়াজ্জমা
Mubassira,মুবাশশিরা
Mumtaj,মুমতাজ
Munira,মুনীরা
Murshida,মুরশীদা
Musarrat,মুসাররাত
Musarrat,মুসাররাত
Mustari,মুশতারী
Rabab,রাবাব
Rabiah,রাবিয়াহ
Radiah,রাদিআহ
Rafia,রাফিয়া
Rahana,রায়হানা
Rahila,রাহিলা
Rahima,রহিমা
Raihana,রাইহানা
Raisa,রাইসা
Rakika,রাকিকা
Ramisa,রামিসা
Ramla,রামলা
Rana Anjuma,রানা আনজুম
Rana Saida,রানা সাইদা
Rana Salma,রানা সালমা
Rana Tabassum,রানা তাবাসসুম
Rana Tarannum,রানা তারাননুম
Rana Yasmin,রানা ইয়াসমিন
Rashida,রাশীদা
Rawnaf,রাওনাফ
Rawsan,রওশান
Rezah,রেযাহ
Rima,রীমা
Rima,রীমা
Rosni,রোশনী
Rowsan,রওশান
Rufaida,রুফাইদা
Rumali,রুমালী
Rummon,রুম্মন
Salma Afia,সালমা আফিয়া
Salma Aniqa,সালমা আনিকা
Salma Anjum,সালমা আনজুমা
Salma Fariha,সালমা ফারিহা
Salma Fawziyah,সালমা ফাওজিয়াহ
Salma Mahfuza,সালমা মাহফুজা
Salma Maliha,সালমা মালিহা
Salma Masuda,সালমা মাসুদা
Salma Nabilah,সালমা নাওয়ার
Salma Saba,সালমা সাবা
Salma Sabiha,সালমা সাবিহা
Salma Subha,সালমা সুবাহ
Salma Tabassum,সালমা তাবাসসুম
Saraf Anisa,সারাফ আনিস
Saraf Anj,সারাফ আনজুম
Saraf Atiqa,সারাফ আতিকা
Saraf Nawar,সারাফ নাওয়ার
Saraf Rumali,সারাফ রুমালী
Saraf Wamia,সারাফ ওয়ামিয়া
Saraf Wasima,সারাফ ওয়াসিমা
Zarin Anan,যারীন আনান
Zarin Anjum,যারীন আনজুম
Zarin Ashya,যারীন আসিয়া
Zarin Atiya,যারীন আতিয়া
Zarin Forhat,যারীন ফরহাত
Zarin Gauhar,যারীন গাওহার
Zarin Hadiqa,যারীন হাদীকা
Zarin Musarrat,যারীন মুসাররাত
Zarin Nudar,যারীন নূদার
Zarin Rafa,যারীন রাফা
Zarin Raihana,যারীন রায়হানা
Zarin Roshni,যারীন রোশনী
Zarin Sadaf,যারীন সাদাফ
Zarin Sima,যারীন সিমা
Zarin Subha,যারীন সুবাহ
