bengali,english
"Azizur Rahman","আজিজুর রহমান"
"Azizul Islam","আজীজুল ইসলাম"
"Azizul Haque","আজিজুল হক"
"Aziz Ahmad","আজীজ আহমদ"
"Aziz","আজিজ"
"Azimuddin","আজীমুদ্দীন"
"Azhar","আযহার"
"Azazul Haque","এজাজুল হক"
"Azam","আজম"
"Ayyub","আইউব"
"Ayman Awasaf","আয়মান আওসাফ"
"Ayman","আয়মান"
"Awwal","আউয়াল"
"Awlia","আউলিয়া"
"Awla","আওলা"
"At-yab","আতয়াব"
"Asrar","আসরার"
"Asraf","আশরাফ"
"Aslam Zalil","আসলাম জলীল"
"Aslam Anjum","আসলাম আনজুম"
"Aslam","আসলাম"
"Asirul Haque","আসীরুল হক"
"Asil","আসিল"
"Ashim","আসীম"
"Ashik","আশিক"
"Arman","আরমান"
"Ariq","আরিক"
"Burhanuddin","বোরহানুদ্দীন"
"Burhan","বোরহান"
"Boy Arabic Bashir Anjum","বশীর আনজুম"
"Bodrul Hasan","বদরুল হাসান"
"Bazlul Haque","বজলুল হক"
"Baten","বাতেন"
"Bashratul Hasan","বাশরাতুল হাসান"
"Bashiruddin","বশীরুদ্দীন"
"Bashir Shahriyar","বশির শাহরিয়ার"
"Bashir Hamim","বশীর হামিম"
"Bashir Habib","বশীর হাবীব"
"Bashir Ashhab","বশীর আশহাব"
"Bashir Akhtab","বশীর আখতাব"
"Bashir Ahbab","বশীর আহবাব"
"Bashir","বাশীর"
"Barkat","বরকত"
"Baqi","বাকী"
"Diwan","দিওয়ান"
"Dilir Mansur","দিলির মনসুর"
"Dilir Hamim","দিলির হামিম"
"Dilir Habib","দিলির হাবিব"
"Dilir Fuad","দিলির ফুয়াদ"
"Dilir Daiyan","দিলির দাইয়ান"
"Dilir Ahbab","দিলির আহবাব"
"Dildar","দিলদার"
"Delwar","দেলওয়ার"
"Deedar","দীদার"
"Dalilur Rahman","দলীলুর রহসান"
"Daiyan","দাইয়ান"
"Ezaz","এ’যায"
"Eyanat","ইয়ানাত"
"Ettesam","ইত্তেসাম"
"Ettesaf","ইত্তেসাফ"
"Esrar","ইসরার"
"Esfar","ইসফার"
"Enayatul Haque","এনায়েতুল হক"
"Ejtenab","ইজতিনাব"
"Eftekhar","ইফতিখার"
"Efaz","ইফাজ"
"Fuad","ফুয়াদ"
"Firoz wadud","ফিরোজ ওয়াদুদ"
"Firoz Mujid","ফিরোজ মুজিদ"
"Fattah","ফাততাহ"
"Fatin Wahab","ফাতিন ওয়াহাব"
"Fatin Shadab","ফাতিন শাদাব"
"Fatin Noor","ফাতিন নূর"
"Fatin Nesar","ফাতিন নেসার"
"Fatin Mahtab","ফাতিন মাহতাব"
"Fatin Jalal","ফাতিন জালাল"
"Faruk Ahmad","ফারুক আহমেদ"
"Faridul Hasan","ফরীদুল হাসান"
"Farid Hamid","ফরিদ হামিদ"
"Farid Ahmad","ফরীদ আহমদ"
"Farid","ফরিদ"
"Fahim Fuad","ফাহিম ফুয়াদ"
"Fahim Faisal","ফাহিম ফয়সাল"
"Fahim Ashhab","ফাহিম আশহাব"
"Fahim Asad","ফাহিম আসাদ"
"Fahim Anis","ফাহিম আনিস"
"Fahim Ajmal","ফাহিম আজমল"
"Fahim Abrar","ফাহিম আবরার"
"Fahad","ফাহাদ"
"Gulbuddin","গুলবুদ্দীন"
"Gufran","গোফরান"
"Gopur","গফুর"
"Gool","গুল"
"Golamur Rahman","গোলামুর রহমান"
