serial_no,bengali,english
0,এ,A
1,আল,Al
2,আমিন,Amin
3,আরিফ,Arif
4,আব্দ,Abd
5,আবদিন,Abdin
6,আব্দুল,Abdul
7,আব্দুল্লাহ্,Abdullah
8,আবদুল্লাহ,Abdullah
9,আব্দুল্লাহ,Abdullah
10,আব্দুর,Abdur
11,আবদুর,Abdur
12,আবেদীন,Abedin
13,অভিষেক,Abhishek
14,আবীর,Abir
15,আবু,Abu
16,আবুল,Abul
17,আচার্য্য,Acharjee
18,আদর,Adar
19,অধিকারী,Adhikary
20,আদনান,Adnan
21,আফ্রাদ,Afrad
22,আফরিন,Afrin
23,আফরোজ,Afroz
24,আফসানা,Afsana
25,আফসার,Afsar
26,আহ্ম্মেদ,Ahammed
27,আহমেদ,Ahmed
28,আহমদ,Ahmed
29,আহসান,Ahsan
30,আহসানুল,Ahsanul
31,আক্তার,Akhter
32,আল,Al
33,আল-মামুন,Al-Mamun
34,আলম,Alam
35,আলামিন,Alamin
36,আলেয়া,Aleya
37,আলী,Ali
38,আলিফ,Alif
39,আলিম,Alim
40,অমি,Ami
41,আমিন,Amin
42,আমিনুল,Aminul
43,আমীর,Amir
44,অমিত,Amit
45,আনাম,Anam
46,অনন্যা,Ananna
47,অনি,Ani
48,আনিকা,Anika
49,অনিমেষ,Animesh
50,অনির্বাণ,Anirban
51,অনু,Anu
52,অনুপ,Anup
53,আরাফাত,Arafat
54,আরেফিন,Arefin
55,আরফান,Arfan
56,আরিদা,Arida
57,আরিফ,Arif
58,আরিফিন,Arifin
59,অর্পণ,Arpan
60,আসাদ,Asad
61,আসগর,Asgor
62,আসাদুজ্জামান,Ashaduzzaman
63,আশফাক,Ashfaq
64,আশকারি,Ashkary
65,আশরাফ,Ashraf
66,আশুতোষ,Ashutosh
67,আসিফ,Asif
68,আসিফুজ্জামান,Asifuzzaman
69,অভি,Avey
70,আয়মান,Ayman
71,আজাদ,Azad
72,আজীজ,Azeez
73,আজহার,Azhar
74,আজিজ,Aziz
75,বি,B
76,বাবু,Babu
77,বদরুদ্দোজা,Badruddoja
78,বকর,Bakar
79,বকর,Bakr
80,বালা,Bala
81,বঙ্গবন্ধু,Bangabandhu
82,বড়ুয়া,Barua
83,বারুরি,Barury
84,বজলুর,Bazlur
85,বেলা,Bela
86,বেপারি,Bepari
87,ভৌমিক,Bhowmik
88,ভুবন,Bhuban
89,ভুইয়া,Bhuiyan
90,ভুট্টো,Bhutto
91,বিধু,Bidhu
92,বিকাশ,Bikash
93,বিল্লাহ,Billah
94,বিন,Bin
95,বিনতে,Binte
96,বিশ্বাস,Biswas
97,বদন,Bodon
98,বৃষ্টি,Brishti
99,চৌধুরী,Chowdhury
100,চাকমা,Chakma
101,চন্দ্র,Chandra
102,চন্দ্র,Chondro
103,চৌধুরী,Choudhury
104,চৌধুরী,Chowdhury
105,দাস,Das
106,দাস্তগীর,Dastagir
107,দেবদাস,Debdas
108,দেবনাথ,Debnath
109,দে,Dey
110,ধর,Dhar
111,দিদার,Didar
112,দুপুর,Dupur
113,এহসান,Ehsan
114,এহসানুল,Ehsanul
115,ইমদাদুল,Emdadul
116,ইমন,Emon
117,ইনুন,Enun
118,ইশরাক,Eshraq
119,ইসমাইল,Esmail
120,ইভান,Evan
121,ফাবিহা,Fabiha
122,ফাহীম,Fahim
123,ফাইরুজ,Fairuz
124,ফয়সাল,Faisal
125,ফারদীন,Fardeen
126,ফরহাদ,Farhad
127,ফারহানা,Farhana
128,ফারিয়া,Faria
129,ফারসি,Farshi
130,ফারওয়া,Farwa
131,ফারজিন,Farzin
132,ফাতিমা,Fatima
133,ফেরদাউস,Ferdaus
134,ফেরদৌস,Ferdous
135,ফওজিয়া,Fouzia
136,ফুয়াদ,Fuad
137,ঘোষ,Ghosh
138,গিয়াস,Gias
139,গোবিন্দ,Gobinda
140,গগন,Gogan
141,গোপ,Gope
142,গৌতম,Goutam
143,হাসান,Hasan
144,হাবীব,Habib
145,হায়দার,Haider
146,হাকিম,Hakim
147,হক,Haque
148,হারুন-উর-রশিদ,Harun-Ur-Rashid
149,হাসান,Hasan
150,হাসেম,Hashem
151,হাসিব,Hasib
152,হাসিবুর,Hasibur
153,হাসিনা,Hasina
154,হাসনাইন,Hasnaeen
155,হাসনাইন,Hasnain
156,হাসনাত,Hasnat
157,হাসান,Hassan
158,হজরত,Hazrat
159,হেম,Hem
160,হিরক,Herock
161,হিমিকা,Himika
162,হক,Hoque
163,হোসেন,Hosan
164,হোসাইন,Hossain
165,হোসেন,Hossain
166,হোসেন,Hossein
167,হোসেন,Hossen
168,হৃদয়,Hridoy
169,হুদা,Huda
170,ইকবাল,Iqbal
171,ইফরাহা,Ifraha
172,ইফতেখার,Iftekhar
173,ইফতি,Ifti
174,ইফতি,Ifty
175,ইলিয়াস,Ilias
176,ইমরান,Imran
177,ইমরুল,Imrul
178,ইমতিয়াজ,Imtiaz
179,ইমতিনান,Imtinan
180,ইকবাল,Iqbal
181,ইসহাক,Ishak
182,ইশরাক,Ishrak
183,ইশতিয়াক,Ishtiak
184,ইশতিয়াক,Ishtiaque
185,ইসলাম,Islam
186,জাফর,Jafar
187,জাফরীণ,Jafreen
188,জাহান,Jahan
189,জান্নাত,Jannat
190,জাভেদ,Javed
191,যাওয়াদ,Jawad
192,জীবন,Jibon
193,জব্বার,Jobbar
194,জোনায়েদ,Jonayed
195,জয়দেব,Joydeb
196,জুবায়ের,Jubayer
197,যুবায়ের,Jubayer
198,কে,K
199,খালেকুজ্জামান,Khalequzzaman
200,কবির,Kabir
201,কায়েস,Kais
202,কামাল,Kamal
203,কামরান,Kamran
204,কামরুল,Kamrul
205,কান্তি,Kanti
206,কাজী,Kazi
207,কেঞ্জি,Kenji
208,খালেদ,Khaled
209,খালেদা,Khaleda
210,খান,Khan
211,কৌড়ী,Kowree
212,ক্রিস্টিন,Kristin
213,ক্ষমা,Kshama
214,কুমার,Kumar
215,কুমার,Kumer
216,লাবিব,Labib
217,লতিফা,Latifa
218,লিম,Lim
219,লুবাবা,Lubaba
220,এম,M
221,মোহাম্মদ,Md
222,মো:,Md.
223,মোঃ,Md.
224,মেহেদী,Mehedi
225,মাফিনার,Mafinar
226,মফিজুল,Mafizul
227,মাহাবুব,Mahabub
228,মাহাবুবুর,Mahabubur
229,মহানন্দ,Mahananda
230,মাহবুবা,Mahbuba
231,মাহফুজ,Mahfuz
232,মাহফুজা,Mahfuza
233,মাহির,Mahir
234,মাহমুদ,Mahmud
235,মাহমুদুল,Mahmudul
236,মাইশা,Maisha
237,মেজর,Major
238,মালিহা,Maliha
239,মামুনুর,Mamunur
240,মানস,Manash
241,মারকাজুল,Markajul
242,মাসুদ,Masud
243,মাসউদুল,Masudul
244,মাজহারুল,Mazharul
245,মজুমদার,Mazumder
246,মো,Md
247,মোঃ,Md
248,মো:,Md
249,মো.,Md
250,মো.,Md.
251,মো:,Md.
252,মোঃ,Md.
253,মেঘদীপ,Meghdeep
254,মেহেদী,Mehedee
255,মেহেদী,Mehedi
256,মেহ্জাবিন,Mehzawin
257,মেজবাহ,Mezbah
258,মিয়া,Mia
259,মিলন,Milon
260,মিনহাজুল,Minhajul
261,মিনহাজুল,Minhazul
262,মিনি,Mini
263,মীর,Mir
264,মিসবাহ,Misbah
265,মিথুন,Mithun
266,মোফাজ্জল,Mofazzul
267,মোহাম্মাদ,Mohammad
268,মুহাম্মাদ,Mohammad
269,মোহাম্মদ,Mohammad
270,মুহাম্মদ,Mohammed
271,মোহাম্মদ,Mohammed
272,মহি-উস,Mohi-Us
273,মোহাম্মদ,Mohmmad
274,মোহনা,Mohona
275,মহসিন,Mohsin
276,মোল্লা,Molla
277,মল্লিক,Mollik
278,মণ্ডল,Mondal
279,মনি,Moni
280,মনিরুল,Monirul
281,মনিরুজ্জামান,Moniruzzaman
282,মনোয়ার,Monwer
283,মশিউর,Moshiur
284,মোস্তফা,Mostafa
285,মোস্তাফিজুর,Mostafizur
286,মৌসুমি,Mousumi
287,মৃদুল,Mridul
288,মুহাম্মাদ,Muhammad
289,মোহাম্মদ,Muhammad
290,মুহাম্মদ,Muhammad
291,মোহাম্মাদ,Muhammad
292,মুজিবুর,Mujibur
293,মুজতাবা,Mujtaba
294,মুজতবা,Mujtaba
295,মোকাদ্দাস,Mukaddash
296,মুখার্জি,Mukherjee
297,মুনির,Munir
298,মুনতাসির,Muntasir
299,মুসাভী,Musavee
300,মুসাইয়্যিব,Musayib
301,মুশফিকুর,Mushfiqur
302,মুশিউর,Mushiur
303,মুস্তাফা,Mustafa
304,নিউটন,Newton
305,নাবিল,Nabeel
306,নাফিউল,Nafiul
307,নাফিজ,Nafiz
308,নাফসান,Nafsan
309,নাহিয়ান,Nahian
310,নাহিদ,Nahid
311,নাঈমুল,Naimul
312,নমিতা,Namita
313,নন্দী,Nandy
314,নাসিফ,Nasif
315,নাছির,Nasir
316,নাসরিন,Nasrin
317,নাইম,Nayeem
318,নাজিয়া,Nazia
319,নাজমুল,Nazmul
320,নজরুল,Nazrul
321,নিয়াজ,Niaz
322,নিবির,Nibir
323,নিগার,Nigar
324,নিহাল,Nihal
325,নীলাক্ষ্মী,Nilaxmi
326,নির্মল,Nirmal
327,নীতা,Nita
328,নিটোল,Nitol
329,নূর,Noor
330,নুরুদ্দীন,Nooruddin
331,নোভা,Nova
332,নূরুল,Nurul
333,নুরুন্নবী,Nurunnaby
334,নুরুজ্জামান,Nuruzzaman
335,নুসরাত,Nusrat
336,অরিন,Orin
337,অরিত্র,Oritro
338,ওসমানী,Osmani
339,অভি,Ovi
340,পাল,Pal
341,পলাশ,Palash
342,পার্বতী,Parbati
343,পার্থ,Partha
344,পারভিন,Parvin
345,পিয়াশা,Piyasha
346,প্রান্ত,Pranto
347,প্রশান্ত,Prashanta
348,প্রত্যাশা,Pratyasha
349,প্রীতম,Pritam
350,প্রিয়াংকা,Priyanka
351,প্রণব,Pronob
352,প্রতীতি,Proteeti
353,প্রত্যয়,Prottoy
354,প্রভা,Prova
355,পূর্বা,Purba
356,কাজী,Qazi
357,রহমান,Rahman
358,রাব্বী,Rabby
359,রাব্বি,Rabby
360,রবিউল,Rabiul
361,রাফি,Rafi
362,রাফিদ,Rafid
363,রফিক,Rafik
364,রাফসান,Rafsan
365,রহমান,Rahaman
366,রাহাত,Rahat
367,রাহিম,Rahim
368,রহমান,Rahman
369,রাহমান,Rahman
370,রায়হান,Raihan
371,রাইমা,Raima
372,রাইসুল,Raisul
373,রাইয়ান,Raiyan
374,রাজিব,Rajib
375,রাজিত,Rajit
376,রাজন,Rajon
377,রাজু,Raju
378,রাকিব,Rakib
379,রাকিবুল,Rakibul
380,রাণী,Rani
381,রানী,Rani
382,রানু,Ranu
383,রাশেদুজ্জামান,Rasheduzzaman
384,রাশিদ,Rashid
385,রশিদ,Rashid
386,রশীদ,Rashid
387,রাশিক,Rashik
388,রাতুন,Ratun
389,রওশন,Rawshan
390,রায়,Ray
391,রায়হান,Rayhan
392,রায়হান,Rayhan
393,রাজ্জাক,Razzaq
394,রিয়াজুল,Reazul
395,ঋভূ,Reevu
396,রিমন,Remon
397,রেজা,Reza
398,রিজভী,Rezve
399,রেজওয়ান,Rezwan
400,রেজওয়ানা,Rezwana
401,রিয়াদ,Riad
402,রিয়াম,Riam
403,রিমা,Rima
404,রিনা,Rina
405,রিংকি,Rinkey
406,রিয়াদ,Riyadh
407,রিজভী,Rizvi
408,রবিন,Robin
409,রবিউল,Robiul
410,রোহান,Rohan
411,রোকন,Rokan
412,রনি,Roni
413,রনি,Rony
414,রওনক,Rownok
415,রায়,Roy
416,এস,S
417,এস.এইচ.এম.,S.H.M.
418,সাকিব,Sakib
419,সালোয়া,Salowa
420,সামিন,Samin
421,সায়েম,Sayem
422,সাদ,Saad
423,সাবিলা,Sabila
424,সাবিতুর,Sabitur
425,সাদিয়া,Sadia
426,সাদিক,Sadik
427,সাদমান,Sadman
428,শাদমান,Sadman
429,সাঈদ,Saeed
430,সাহা,Saha
431,সাইফ,Saif
432,সাইফুল্লাহ,Saifullah
433,সাঈম,Saiyem
434,সাকীব,Sakib
435,সাকিব,Sakib
436,সালেহ,Saleh
437,সেলিম,Salim
438,সালমান,Salman
439,সামিন,Samin
440,সামিউল,Samiul
441,শম্মায়,Sammay
442,সরকার,Sarkar
443,সরকার,Sarker
444,সারওয়ার,Sarwar
445,সায়েম,Sayeam
446,সাঈদ,Sayeed
447,সায়েম,Sayem
448,সাযিদ,Sazid
449,শীল,Seal
450,সীমা,Seema
451,সেলিম,Selim
452,সেনগুপ্তা,Sengupta
453,সিয়াম,Seum
454,শাবাব,Shabab
455,সাদমান,Shadman
456,সাফায়েত,Shafayet
457,শফিক,Shafiq
458,শফিকুল,Shafiqul
459,শাহরিয়ার,Shahariar
460,শাহিদুর,Shahidur
461,শাহজালাল,Shahjalal
462,শাহরিয়ার,Shahriar
463,সাইফুদ্দিন,Shaifuddin
464,সাইফুর,Shaifur
465,শামীম,Shamim
466,শামীমা,Shamima
467,সম্পা,Shampa
468,সম্পদ,Shampod
469,শান,Shan
470,শান্ত,Shanto
471,শরিফ,Sharif
472,শরীফ,Sharif
473,সাজিদ,Shazid
474,শেখ,Sheikh
475,শেখ,Shekh
476,শেরিলিন,Sherilin
477,শিউলী,Sheuli
478,শীল,Shill
479,শিল্প,Shilpo
480,সীমা,Shima
481,শব্দ,Shobdo
482,সোহানা,Shohana
483,স্বপন,Shopon
484,সৌভিক,Shouvik
485,শুভাশীষ,Shuvashis
486,শুভ,Shuvo
487,শুভ্রা,Shuvra
488,শ্যামল,Shyamol
489,সিদ্দিকী,Siddiqi
490,ছিদ্দীক,Siddique
491,সিদ্দিকী,Siddiqui
492,সিলভিয়া,Silvia
493,সিংহ,Singha
494,সিনহা,Sinha
495,সিরাজ,Siraj
496,সিরাজুল,Sirajul
497,সিয়াম,Siyam
498,সোহাগ,Sohag
499,সজল,Sojal
500,সোলায়মান,Solaiman
501,স্মরণী,Soroni
502,সৌরভ,Sourov
503,সুবীর,Subir
504,সুব্রতা,Subrata
505,সোহান,Suhan
506,সুহৃদ,Suhreed
507,সুলতানা,Sultana
508,সুমাইয়া,Sumaya
509,সুমন,Sumon
510,সুনীল,Sunil
511,সুন্নাত,Sunnat
512,সানী,Sunny
513,সুস্মিতা,Sushmita
514,শুভ্রজিৎ,Suvrajit
515,স্বপন,Swapan
516,স্বপ্নীল,Swapnil
517,সৈয়দ,Syed
518,তাবাসসুম,Tabassum
519,তাহিন,Tahin
520,তায়িফ,Taif
521,তামজিদ,Tamjid
522,তামজীদ,Tamzid
523,তানবিন,Tanbin
524,তানজিদা,Tanjida
525,তানজীল,Tanjil
526,তন্ময়,Tanmoy
527,তন্বী,Tanni
528,তনুশ্রী,Tanusree
529,তানভীর,Tanvir
530,তপন,Tapan
531,তাপসী,Taposhi
532,তপু,Tapu
533,তারান্নুম,Tarannum
534,তারেক,Tareq
535,তারেক,Tareque
536,তাসাওয়ার,Tasawar
537,তাসিন,Taseen
538,তাসফিয়া,Tasfia
539,তসলিমা,Taslima
540,তাসমিয়া,Tasmia
541,তাসমিন,Tasmin
542,তাসনিম,Tasnim
543,তাসনীম,Tasnim
544,তিমাম,Timam
545,তিস্তা,Tista
546,তন্ময়,Tonmoy
547,তপু,Topu
548,তথাগত,Tothagoto
549,তৌহিদ,Towhid
550,তৌকির,Towkir
551,তুলি,Tuli
552,তুষার,Tushar
553,তুষার,Tusher
554,উদ্দিন,Uddin
555,উদ্দিন,Uddin
556,উল,Ul
557,উল্লাহ,Ullah
558,উম্মে,Umee
559,উম্মে,Umme
560,উৎসব,Utsob
561,ভাষা,Vasha
562,ওয়াহিদুজ্জামান,Wahiduzzaman
563,ইয়াসমিন,Yasmin
564,ইয়াহিয়া,Yeahia
565,ইয়াছিন,Yeasin
566,জিগজ্যাগ,Zigzag
567,জাবির,Zabir
568,জাহিদ,Zahid
569,জাহিদুর,Zahidur
570,জাহিন,Zahin
571,জাকারিয়া,Zakaria
572,জাকি,Zaki
573,যারীন,Zarin
574,যারিন,Zarin
575,জেরিন,Zerin
576,জিয়া,Zia
577,জিয়াউর,Ziaur
578,জুবায়ের,Zubair
579,জুবায়ের,Zubayer
580,জুহায়ের,Zuhayer
581,জুলফিকার,Zulfikar
582,আহমদ,Ahmad
583,আলী,Ali
584,আশরাফুল,Ashraful
585,ভৌমিক,Bhowmick
586,ধর,Dhar
587,ফার্সী,Farsi
588,ফাতেমাতুজজোহরা,Fatematuzzohora
589,ফেরদৌস,Ferdous
590,হাফেজ,Hafez
591,হোসেন,Hossain
592,হুমায়ুন,Humayun
593,ইবনে,Ibna
594,ইফাজ,Ifaz
595,ইসলাম,Islam
596,জামি,Jami
597,জিয়েল,Jieal
598,কাইয়ুম,Kaiyom
599,কালাম,Kalam
600,কর্মকার,Karmaker
601,লিমন,Limon
602,মাহাদী,Mahadi
603,মাহমুদ,Mahmud
604,মানহা,Manha
605,মিলন,Milon
606,মোহাম্মদ,Mohammad
607,মোশারফ,Mosaraf
608,মওদুদী,Moududi
609,মৌরি,Mouri
610,পল্লব,Pollob
611,রহমান,Rahman
612,রিয়াদুল,Reyadul
613,সাইফুল,Saiful
614,সজীব,Sajeeb
615,সমাজপতি,Samajpati
616,শাহরিয়ার,Shahriar
617,স্বচ্ছ,Shoccho
618,সরকার,Sorkar
619,তহমিদার,Tahamidar
620,তুসিন,Tushin
